"rho0" "rho" "a" "b" "i" "CVA" "DVA" "BCVA"
0.1 0.005 0.4 0.02 1 0 0.253303637254724 -0.253303637254724
0.2 0.005 0.4 0.02 1 0 0.215971756270369 -0.215971756270369
0.3 0.005 0.4 0.02 1 0.000287134740941515 0.178340567765509 -0.178053433024568
0.4 0.005 0.4 0.02 1 0.00193062786577555 0.140606569411186 -0.13867594154541
0.5 0.005 0.4 0.02 1 0.00625148096831239 0.103843507200628 -0.0975920262323158
0.6 0.005 0.4 0.02 1 0.0145257091892691 0.0685058348814904 -0.0539801256922213
0.7 0.005 0.4 0.02 1 0.0268438736832772 0.0369028554167237 -0.0100589817334465
0.8 0.005 0.4 0.02 1 0.0400509774628497 0.0134307485965726 0.0266202288662771
0.9 0.005 0.4 0.02 1 0.033860393374691 0.0015207129412235 0.0323396804334675
0.99 0.005 0.4 0.02 1 1.19637797427619e-05 9.16041737889793e-13 1.19637788267202e-05
0.1 0.005 0.4 0.02 2 0 0.267828151776443 -0.267828151776443
0.2 0.005 0.4 0.02 2 0 0.229378206623621 -0.229378206623621
0.3 0.005 0.4 0.02 2 0.000696338771205818 0.190798130412822 -0.190101791641617
0.4 0.005 0.4 0.02 2 0.0031852376034891 0.152154548775641 -0.148969311172152
0.5 0.005 0.4 0.02 2 0.00865693782205724 0.114065172539679 -0.105408234717621
0.6 0.005 0.4 0.02 2 0.0175068471762901 0.0771003914893352 -0.0595935443130451
0.7 0.005 0.4 0.02 2 0.0304487049443859 0.0435930697989241 -0.0131443648545382
0.8 0.005 0.4 0.02 2 0.0439108783755173 0.0170733744282032 0.0268375039473142
0.9 0.005 0.4 0.02 2 0.0369785165405967 0.0020525748923969 0.0349259416481998
0.99 0.005 0.4 0.02 2 2.17063846742753e-05 9.64905296083875e-13 2.170638370937e-05
0.1 0.005 0.4 0.02 3 0 0.254580914693064 -0.254580914693064
0.2 0.005 0.4 0.02 3 0 0.215090357876469 -0.215090357876469
0.3 0.005 0.4 0.02 3 0.000356148121994663 0.17553960442849 -0.175183456306495
0.4 0.005 0.4 0.02 3 0.00215311574852261 0.136608634995377 -0.134455519246855
0.5 0.005 0.4 0.02 3 0.0066668285037881 0.09915264222674 -0.0924858137229519
0.6 0.005 0.4 0.02 3 0.014358916349581 0.0640787945724391 -0.0497198782228581
0.7 0.005 0.4 0.02 3 0.0263029363307123 0.0337339679747743 -0.00743103164406205
0.8 0.005 0.4 0.02 3 0.0391989879357844 0.012511983244079 0.0266870046917054
0.9 0.005 0.4 0.02 3 0.034301435103814 0.00137194776561275 0.0329294873382013
0.99 0.005 0.4 0.02 3 1.70744991957001e-05 7.53977324526316e-13 1.70744984417227e-05
0.1 0.005 0.4 0.02 4 0 0.262813110645512 -0.262813110645512
0.2 0.005 0.4 0.02 4 0 0.225562790852689 -0.225562790852689
0.3 0.005 0.4 0.02 4 0.000305509707917145 0.188000651679474 -0.187695141971557
0.4 0.005 0.4 0.02 4 0.00207889345281868 0.150216440513964 -0.148137547061145
0.5 0.005 0.4 0.02 4 0.00792620844364952 0.113249597753522 -0.105323389309873
0.6 0.005 0.4 0.02 4 0.0175646524481468 0.0771103979667913 -0.0595457455186445
0.7 0.005 0.4 0.02 4 0.0310290717367636 0.0432140869402474 -0.0121850152034838
0.8 0.005 0.4 0.02 4 0.0448763516874981 0.0166177484306331 0.028258603256865
0.9 0.005 0.4 0.02 4 0.0367969800404004 0.00193993123299959 0.0348570488074008
0.99 0.005 0.4 0.02 4 1.22390929248162e-05 9.46548111138706e-13 1.2239091978268e-05
0.1 0.005 0.4 0.02 5 0 0.262111769908683 -0.262111769908683
0.2 0.005 0.4 0.02 5 0 0.223117562055844 -0.223117562055844
0.3 0.005 0.4 0.02 5 0.000324756946129194 0.183875503527436 -0.183550746581307
0.4 0.005 0.4 0.02 5 0.00239870310093 0.144906131572778 -0.142507428471848
0.5 0.005 0.4 0.02 5 0.00771725342395361 0.107221725648674 -0.0995044722247201
0.6 0.005 0.4 0.02 5 0.0168647819898507 0.0713701339201714 -0.0545053519303207
0.7 0.005 0.4 0.02 5 0.0306951136994161 0.0396007294981111 -0.00890561579869499
0.8 0.005 0.4 0.02 5 0.0450953708994553 0.0150419992993978 0.0300533716000576
0.9 0.005 0.4 0.02 5 0.0377320968974997 0.00181650319080211 0.0359155937066976
0.99 0.005 0.4 0.02 5 1.34423431400719e-05 1.02245215363168e-12 1.34423421176197e-05
0.1 0.005 0.4 0.02 6 0 0.277095451628619 -0.277095451628619
0.2 0.005 0.4 0.02 6 0 0.237663748762538 -0.237663748762538
0.3 0.005 0.4 0.02 6 0.00026547071551732 0.197789681716311 -0.197524211000794
0.4 0.005 0.4 0.02 6 0.00200318424523436 0.157644014445672 -0.155640830200437
0.5 0.005 0.4 0.02 6 0.00556325307632016 0.117230030021838 -0.111666776945518
0.6 0.005 0.4 0.02 6 0.0114673188168998 0.0773744009577311 -0.0659070821408314
0.7 0.005 0.4 0.02 6 0.0223322590609315 0.0417484982838245 -0.019416239222893
0.8 0.005 0.4 0.02 6 0.0363210902593639 0.0149211368909501 0.0213999533684138
0.9 0.005 0.4 0.02 6 0.0329752097180323 0.00166763727725059 0.0313075724407817
0.99 0.005 0.4 0.02 6 1.21725951803555e-05 9.06011121928739e-13 1.21725942743444e-05
0.1 0.005 0.4 0.02 7 0 0.287621931477166 -0.287621931477166
0.2 0.005 0.4 0.02 7 0 0.246133645556733 -0.246133645556733
0.3 0.005 0.4 0.02 7 0.000232798316677149 0.204421456783253 -0.204188658466576
0.4 0.005 0.4 0.02 7 0.00134688953859224 0.162088213724833 -0.160741324186241
0.5 0.005 0.4 0.02 7 0.00477817273904218 0.119530193596782 -0.11475202085774
0.6 0.005 0.4 0.02 7 0.013399424609329 0.0794622159271611 -0.0660627913178321
0.7 0.005 0.4 0.02 7 0.0273402757046493 0.0449429513238406 -0.0176026756191912
0.8 0.005 0.4 0.02 7 0.0410233228932282 0.0172278578621852 0.023795465031043
0.9 0.005 0.4 0.02 7 0.0352479339207339 0.00200853783404231 0.0332393960866916
0.99 0.005 0.4 0.02 7 9.91163178553814e-06 1.02821889696994e-12 9.91163075731925e-06
0.1 0.005 0.4 0.02 8 0 0.244931970549725 -0.244931970549725
0.2 0.005 0.4 0.02 8 0 0.212515802667305 -0.212515802667305
0.3 0.005 0.4 0.02 8 0.000302956908216653 0.179451467476408 -0.179148510568191
0.4 0.005 0.4 0.02 8 0.00211548234519276 0.146165192561574 -0.144049710216381
0.5 0.005 0.4 0.02 8 0.00628680075787764 0.112779620176273 -0.106492819418395
0.6 0.005 0.4 0.02 8 0.0134240677503226 0.0795461630596975 -0.0661220953093749
0.7 0.005 0.4 0.02 8 0.0223815501084119 0.0465792735871551 -0.0241977234787433
0.8 0.005 0.4 0.02 8 0.0316744489418651 0.0180303373225536 0.0136441116193115
0.9 0.005 0.4 0.02 8 0.0284848215653812 0.00204609479455766 0.0264387267708235
0.99 0.005 0.4 0.02 8 1.19494620821093e-05 9.13240717177017e-13 1.19494611688686e-05
0.1 0.005 0.4 0.02 9 0 0.245397859672242 -0.245397859672242
0.2 0.005 0.4 0.02 9 0 0.210722350922237 -0.210722350922237
0.3 0.005 0.4 0.02 9 0.000188850292989397 0.175587427412974 -0.175398577119984
0.4 0.005 0.4 0.02 9 0.00121011265767095 0.1398410550029 -0.138630942345229
0.5 0.005 0.4 0.02 9 0.00397184115103296 0.103814941359849 -0.0998431002088161
0.6 0.005 0.4 0.02 9 0.00984742710366942 0.0691568605917832 -0.0593094334881137
0.7 0.005 0.4 0.02 9 0.0195258759951252 0.037731462280762 -0.0182055862856368
0.8 0.005 0.4 0.02 9 0.0308050188477096 0.0135544741573078 0.0172505446904018
0.9 0.005 0.4 0.02 9 0.0282918469277646 0.00157837661154111 0.0267134703162235
0.99 0.005 0.4 0.02 9 8.79456237389653e-06 9.56292298389008e-13 8.79456141760423e-06
0.1 0.005 0.4 0.02 10 0 0.259806597252267 -0.259806597252267
