"rho0" "rho" "a" "b" "i" "CVA" "DVA" "BCVA"
0.3 0.005 0.1 0.02 1 0.000335576294866682 0.181558567492605 -0.181222991197738
0.3 0.005 0.2 0.02 1 0.000319532695148633 0.180704655750385 -0.180385123055237
0.3 0.005 0.3 0.02 1 0.000303378153648011 0.179639941513026 -0.179336563359378
0.3 0.005 0.4 0.02 1 0.000287134740941515 0.178340567765509 -0.178053433024568
0.3 0.005 0.5 0.02 1 0.000270824755871769 0.176791035969136 -0.176520211213264
0.3 0.005 0.6 0.02 1 0.000254470781341109 0.174982892019802 -0.174728421238461
0.3 0.005 0.7 0.02 1 0.000238095727800953 0.172912950034777 -0.172674854306976
0.3 0.005 0.8 0.02 1 0.000221722863531976 0.170581407234635 -0.170359684371103
0.3 0.005 0.1 0.02 2 0.000419450174472587 0.1845969828005 -0.184177532626027
0.3 0.005 0.2 0.02 2 0.000498478901994498 0.186800267974489 -0.186301789072494
0.3 0.005 0.3 0.02 2 0.000590172842489428 0.188854238981001 -0.188264066138512
0.3 0.005 0.4 0.02 2 0.000696338771205818 0.190798130412822 -0.190101791641617
0.3 0.005 0.5 0.02 2 0.000819014520801698 0.192699234765488 -0.191880220244686
0.3 0.005 0.6 0.02 2 0.000960495296045969 0.1946500347757 -0.193689539479654
0.3 0.005 0.7 0.02 2 0.00112336261081047 0.196764013056959 -0.195640650446148
0.3 0.005 0.8 0.02 2 0.00131051606660939 0.19917060315109 -0.197860087084481
0.3 0.005 0.1 0.02 3 0.000350729599551721 0.180812434726835 -0.180461705127283
0.3 0.005 0.2 0.02 3 0.000351250356408715 0.179208057831953 -0.178856807475545
0.3 0.005 0.3 0.02 3 0.000353053350049811 0.177441343136362 -0.177088289786312
0.3 0.005 0.4 0.02 3 0.000356148121994663 0.17553960442849 -0.175183456306495
0.3 0.005 0.5 0.02 3 0.000360550162614754 0.173535777526031 -0.173175227363416
0.3 0.005 0.6 0.02 3 0.000366281318009965 0.171466811717766 -0.171100530399756
0.3 0.005 0.7 0.02 3 0.000373370162339008 0.169372278259239 -0.1689989080969
0.3 0.005 0.8 0.02 3 0.000381852333344314 0.167293297143832 -0.166911444810488
0.3 0.005 0.1 0.02 4 0.000339205253221165 0.1837726448432 -0.183433439589979
0.3 0.005 0.2 0.02 4 0.000327476648756747 0.185247779075576 -0.184920302426819
0.3 0.005 0.3 0.02 4 0.000316261109166595 0.186655969135485 -0.186339708026318
0.3 0.005 0.4 0.02 4 0.000305509707917145 0.188000651679474 -0.187695141971557
0.3 0.005 0.5 0.02 4 0.000295164701879933 0.189292770669212 -0.188997605967332
0.3 0.005 0.6 0.02 4 0.000285159550306305 0.190550554288979 -0.190265394738673
0.3 0.005 0.7 0.02 4 0.000275418969228517 0.191798884429405 -0.191523465460177
0.3 0.005 0.8 0.02 4 0.000265859027021116 0.19306828720048 -0.192802428173459
0.3 0.005 0.1 0.02 5 0.0003457477325748 0.182328200040975 -0.1819824523084
0.3 0.005 0.2 0.02 5 0.000339361053026547 0.182606258875138 -0.182266897822111
0.3 0.005 0.3 0.02 5 0.000332354325643869 0.183104771957045 -0.182772417631401
0.3 0.005 0.4 0.02 5 0.000324756946129194 0.183875503527436 -0.183550746581307
0.3 0.005 0.5 0.02 5 0.000316600256292688 0.184984378393293 -0.184667778137
0.3 0.005 0.6 0.02 5 0.000307917401938838 0.186509336823843 -0.186201419421904
0.3 0.005 0.7 0.02 5 0.000298743178298823 0.18853761875131 -0.188238875573011
0.3 0.005 0.8 0.02 5 0.000289113864007453 0.191162616401368 -0.19087350253736
0.3 0.005 0.1 0.02 6 0.000330083125707817 0.185457098554774 -0.185127015429066
0.3 0.005 0.2 0.02 6 0.000308595972462002 0.189090892155304 -0.188782296182842
0.3 0.005 0.3 0.02 6 0.000287050597000599 0.193184387309314 -0.192897336712313
0.3 0.005 0.4 0.02 6 0.00026547071551732 0.197789681716311 -0.197524211000794
0.3 0.005 0.5 0.02 6 0.000243878655360394 0.202959435093849 -0.202715556438489
0.3 0.005 0.6 0.02 6 0.000222295264440548 0.208742308772398 -0.208520013507958
0.3 0.005 0.7 0.02 6 0.000200739822766918 0.215176912177422 -0.214976172354655
0.3 0.005 0.8 0.02 6 0.000179229957094158 0.222284539787587 -0.222105309830493
0.3 0.005 0.1 0.02 7 0.000318019623820951 0.18746078643939 -0.187142766815569
0.3 0.005 0.2 0.02 7 0.000287241446469889 0.192920644592331 -0.192633403145862
0.3 0.005 0.3 0.02 7 0.000258910647460389 0.198585793999517 -0.198326883352057
0.3 0.005 0.4 0.02 7 0.000232798316677149 0.204421456783253 -0.204188658466576
0.3 0.005 0.5 0.02 7 0.000208688536341337 0.210387699201511 -0.210179010665169
0.3 0.005 0.6 0.02 7 0.000186378315311799 0.216444953698994 -0.216258575383682
0.3 0.005 0.7 0.02 7 0.000165677432150324 0.222552002935696 -0.222386325503546
0.3 0.005 0.8 0.02 7 0.000146408199410331 0.228647168811827 -0.228500760612416
0.3 0.005 0.1 0.02 8 0.000336623879176274 0.182473749908446 -0.18213712602927
0.3 0.005 0.2 0.02 8 0.000323628417367719 0.182104726490763 -0.181781098073395
0.3 0.005 0.3 0.02 8 0.000312432742473596 0.181099676765788 -0.180787244023314
0.3 0.005 0.4 0.02 8 0.000302956908216653 0.179451467476408 -0.179148510568191
0.3 0.005 0.5 0.02 8 0.000295107860048393 0.177177215096943 -0.176882107236895
0.3 0.005 0.6 0.02 8 0.000288778165735327 0.174321800075742 -0.174033021910006
0.3 0.005 0.7 0.02 8 0.000283844559419001 0.170960312280278 -0.170676467720859
0.3 0.005 0.8 0.02 8 0.000280166306643724 0.167198355954959 -0.166918189648316
0.3 0.005 0.1 0.02 9 0.000303293800498177 0.180932146768811 -0.180628852968313
0.3 0.005 0.2 0.02 9 0.000260464741399434 0.179448763873208 -0.179188299131808
0.3 0.005 0.3 0.02 9 0.0002224764176747 0.177695091229745 -0.177472614812071
0.3 0.005 0.4 0.02 9 0.000188850292989397 0.175587427412974 -0.175398577119984
0.3 0.005 0.5 0.02 9 0.000159149419420772 0.17305104142929 -0.172891892009869
0.3 0.005 0.6 0.02 9 0.000132975312795613 0.17002316330303 -0.169890187990234
